Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth
Limestone,21.89770558,12.89256438,Dome,0.035983596,4.598458669,1042
Sandstone,4.707518161,196.0780599,Anticline,0.421465448,2.890416252,3440
Sandstone,29.1806623,573.4206505,,0.71948747,1.361029246,2544
Shale,15.76335379,764.8541153,Dome,0.984537459,4.685620289,4517
Sandstone,14.15096301,507.7303177,Anticline,0.916314874,1.611683923,3738
Limestone,7.761328422,998.2791514,Dome,0.555664073,2.334636941,3588
Sandstone,27.13358435,731.8763364,Dome,0.499283401,2.095340499,4183
Limestone,13.78933792,990.1856178,,0.079226538,0.810725018,1822
Sandstone,24.08553627,659.7862131,Dome,0.471029084,0.475854739,2139
Limestone,1.009491702,601.6348219,Fault,0.008521396,3.353189208,3448
Sandstone,17.31648219,672.4423456,Dome,0.852051684,1.557321663,2961
Sandstone,23.16268572,156.0046192,Anticline,0.110136029,4.897189698,971
Sandstone,26.42644271,935.8651751,Anticline,0.575377819,2.456487749,1830
Limestone,4.518243097,324.6552954,Dome,0.797373269,1.14668286,658
Sandstone,17.64280913,966.1337729,,0.757123824,3.808259945,581
Shale,24.79855037,177.4663868,Anticline,0.822442125,3.306715358,1707
Limestone,13.16003316,537.3643692,Dome,0.694883105,0.096775879,597
Limestone,19.81164757,259.7801709,,0.96662261,0.692408044,1046
Limestone,1.403575349,454.773596,Anticline,0.793309773,4.857223725,792
Limestone,2.629495086,622.20274,,0.512713482,4.571336223,3503
Sandstone,26.32222036,967.8324465,Anticline,0.155513644,4.478713841,4694
Limestone,28.73490652,840.1684904,,0.424611861,4.065551342,3040
Shale,1.295108726,740.7784207,,0.537831711,1.568127841,4747
Sandstone,9.209168466,269.432035,Dome,0.945021918,1.751961671,3885
Sandstone,10.21634506,810.3153023,Dome,0.326846697,3.965322468,2538
Sandstone,20.36364667,394.1842423,Dome,0.32937149,0.03838259,2271
Limestone,22.48636693,680.4627001,Anticline,0.303401562,2.491118701,3664
Shale,12.07119152,490.4418215,Dome,0.237281749,1.749880155,4548
Shale,20.67544231,912.9260193,Anticline,0.969659747,3.39821232,1853
Limestone,5.319796597,72.25166642,Anticline,0.880530526,1.952017418,1077
Limestone,28.57245918,493.5360754,Dome,0.936191541,3.823134455,2374
Shale,25.01375853,111.2990882,Anticline,0.240245558,1.574861003,4263
Limestone,15.90187365,911.7065873,Fault,0.630753503,3.81225648,834
Sandstone,6.271111122,131.9900883,Anticline,0.04308097,0.995222124,1076
Shale,5.023792336,767.4121491,Dome,0.295766131,1.946619609,2012
Limestone,10.88597451,987.6834561,Dome,0.370362156,1.916643877,3979
Sandstone,7.627836943,626.8591543,Fault,0.85754659,1.453713604,3211
Shale,1.873328249,892.7081889,Anticline,0.0288484,3.815089938,2099
Sandstone,28.43308746,708.3033195,Anticline,0.666261303,0.987143542,2727
Sandstone,16.67736051,227.0779819,Fault,0.978513135,4.666367502,967
Sandstone,21.27381574,874.3080511,,0.216813726,4.942729678,2461
Limestone,19.57806046,392.564184,Anticline,0.046766568,4.819811049,3441
Shale,28.84838275,866.9218096,Dome,0.081514595,2.783598424,3793
Shale,27.41628871,496.0601347,Fault,0.988416825,1.122605176,1853
Limestone,0.990358077,748.8161537,Anticline,0.429656922,4.987455804,2062
Sandstone,2.957826907,609.6944152,,0.162752886,2.642506456,1529
Shale,22.67897547,241.7187026,,0.082655062,2.648367405,2641
Sandstone,15.13274238,540.9887218,Fault,0.803784379,2.227428961,1486
Limestone,13.91970394,67.61561806,Fault,0.287936555,4.356484916,1525
Sandstone,21.52088259,750.3112628,Anticline,0.726932297,0.780242989,1170
Shale,4.458996467,565.6466081,Anticline,0.564768399,0.58094587,813
Shale,21.15919928,482.7693407,Anticline,0.900013523,0.722884449,1784
Limestone,13.25547103,820.333505,,0.074298538,1.393660962,3998
Sandstone,5.625133714,50.57500312,,0.781444604,2.999243166,4922
Shale,17.38857292,142.4105574,Fault,0.765825547,4.21122021,1287
Shale,3.152926506,932.4730907,Anticline,0.569442019,2.357837317,3562
Shale,25.63857077,35.06160216,Fault,0.803774051,4.209286816,1855
Sandstone,27.12406058,533.8614966,,0.080228563,3.959481812,798
Sandstone,14.18637967,706.4161562,Fault,0.978596334,4.587816076,875
Sandstone,23.80711964,552.6086661,Fault,0.162606132,0.231382553,4662
Sandstone,28.63268341,332.9467913,Anticline,0.846772582,1.275877218,4336
Limestone,18.96367285,558.342878,Dome,0.599101356,3.028121681,1264
Shale,0.08526461,582.2037407,Fault,0.35051016,3.604815641,1564
Sandstone,3.949607664,497.59222,,0.568785683,2.553768086,3943
Shale,9.185877614,690.5164584,Anticline,0.700940939,4.046933325,592
Limestone,23.14536186,926.8799024,Anticline,0.585451697,2.418959531,583
Sandstone,19.42373822,696.7413549,Dome,0.194529975,1.132643226,4952
Limestone,28.59949117,71.16706856,,0.997616836,2.195904732,2125
Limestone,16.06394849,48.35117935,Anticline,0.235297762,3.938375904,1111
Shale,1.641425245,222.77305,,0.026352912,4.147774787,4451
Limestone,23.46152308,282.7173533,,0.222694012,0.526522589,1019
Limestone,18.70433492,346.1156903,Fault,0.536811884,1.988896087,1749
Shale,22.08761844,615.8930467,,0.870782034,2.833171482,4295
Sandstone,14.9176166,835.1885648,Anticline,0.38028789,4.433818225,1863
Limestone,17.780882,678.1907474,Fault,0.149809627,1.410495809,2240
Shale,4.308641342,948.914982,,0.764287232,2.740443085,4825
Shale,14.56492921,437.9458593,Dome,0.484117531,1.852069765,3841
Shale,19.55702597,376.0019765,,0.502301905,2.259065392,3986
Sandstone,27.44897595,35.22686167,Dome,0.82372988,2.060872502,3296
Shale,13.72329168,786.5354843,,0.323141206,2.37776421,531
Sandstone,10.7936824,263.7884625,Fault,0.350100138,2.326489416,4143
Sandstone,0.431188553,131.5957901,Dome,0.299975882,4.519778801,4597
Shale,17.5400427,348.6789362,Anticline,0.115259229,2.155426089,3759
Shale,22.44701149,977.4115543,Fault,0.408421524,3.268220286,864
Sandstone,9.689690495,568.2731196,Dome,0.909709665,2.743869495,1015
Sandstone,9.33021011,88.7784646,Fault,0.543082889,0.96017637,4863
Sandstone,27.98869877,496.8072999,,0.342029515,3.4044363,1064
Limestone,6.023129243,180.3207602,,0.536908008,3.18902858,3578
Sandstone,17.05656767,448.7797865,Anticline,0.58407191,4.809552924,2230
Sandstone,29.49059994,956.7709003,Dome,0.36858089,4.348915818,2136
Sandstone,2.103044408,403.6324534,Dome,0.363868461,3.249329812,1633
Shale,7.277347982,180.2657923,Fault,0.663826461,2.262999775,4622
Sandstone,0.973532304,461.4598521,,0.567821381,2.047783207,943
Sandstone,26.59846467,852.1588386,,0.373610945,3.159492356,1271
Limestone,19.88388823,559.1707141,Dome,0.310704219,1.612530945,4240
Sandstone,27.35878753,465.2600783,Anticline,0.212678128,2.339932336,4282
Shale,24.06114811,370.7777704,,0.36133942,2.552092549,2596
Limestone,15.45915564,435.3667322,Fault,0.169001346,0.191456931,2005
Limestone,24.48277059,253.0816704,Anticline,0.657045757,2.16588806,4307
Shale,23.70044525,189.6805134,Dome,0.00312435,3.181536363,1198
Limestone,1.553576662,968.0529403,,0.287571749,2.915808557,2754
Shale,15.43468807,506.530234,,0.696782274,3.887647825,2055
Sandstone,14.82443012,588.1024374,,0.210295227,1.946655336,2152
Shale,1.291572081,175.4754154,,0.844949474,0.54805904,1763
Shale,10.79382281,397.8448893,Fault,0.551810176,4.067311966,2049
Limestone,0.567829215,129.9615711,Anticline,0.237936452,0.973105703,3322
Shale,19.07732297,657.9107375,Dome,0.852328676,1.009668623,3268
Sandstone,13.92200068,705.784059,Dome,0.269209919,4.989335125,3089
Shale,5.448942656,647.9380032,Anticline,0.307242251,3.093207583,4952
Shale,24.92302166,50.43552854,Anticline,0.503302604,2.256619775,1495
Shale,5.513539953,12.56062656,Dome,0.130799111,3.603577258,1762
Sandstone,20.53878583,475.6039011,Fault,0.142643437,0.893238938,1364
Shale,10.68279255,939.3956807,Anticline,0.527944004,1.076426125,3102
Shale,8.769091397,791.0298362,Dome,0.113097128,2.603362572,3280
Shale,29.1454907,306.7523945,Dome,0.838005076,2.764152162,1186
Sandstone,27.97806623,294.6288062,Dome,0.8045296,0.336919871,1029
