Rock_Type,Porosity,Permeability,Trap_Type,Seismic_Score,Proximity_to_Oil_Field,Estimated_Reservoir_Depth,Oil_Presence
Limestone,17.66799225,834.2774717,None,0.705932539,2.431354554,2228,1
Limestone,27.66575784,578.1580344,None,0.545806486,2.606157523,1610,0
Sandstone,28.85594623,404.7906847,None,0.167530488,1.143136293,2344,0
Sandstone,0.410956512,887.8366735,Dome,0.026851954,2.673531796,,0
Shale,16.49053841,562.2888024,None,,2.064440149,,0
Shale,16.65479189,979.1547836,Anticline,0.044456614,4.927771474,3556,1
Limestone,8.342985452,,Fault,,0.439339179,,0
Shale,13.11154566,263.8066441,Fault,0.375041294,4.602918595,,0
Shale,,,Fault,,0.672804253,867,0
Sandstone,28.41899998,728.1063284,Anticline,0.194320973,4.09761561,,0
Limestone,,33.59159718,Fault,0.751546307,,2909,1
Limestone,8.582697661,734.7339175,Fault,,,989,1
Shale,12.22146837,,Anticline,0.002468503,3.759427143,3371,0
Sandstone,14.97325974,634.1815908,Fault,,4.130235933,4155,1
Limestone,21.51361705,481.242733,Fault,,,,1
Sandstone,27.1000802,415.3495947,Fault,0.262535695,,,0
Limestone,,989.5304395,Fault,0.151013117,1.196000206,,0
Sandstone,,286.0760246,None,0.972293584,0.565441445,916,0
Sandstone,24.68108765,926.2819662,Fault,0.566399695,3.502660578,,0
Sandstone,16.79387167,,Anticline,0.36839737,,889,0
Sandstone,24.16577741,930.5987384,Dome,,4.622035604,,1
Shale,12.70446028,268.5770756,Anticline,0.399866463,0.9394876,618,0
Limestone,24.56240431,,Fault,,,,1
Limestone,27.45501414,85.54256832,Anticline,0.042430737,4.491105152,1853,0
Shale,22.04277867,467.3440951,Anticline,,0.924625384,3171,0
Shale,15.88171864,818.0587613,Fault,0.40116516,,,1
Limestone,19.19325605,,Fault,,,,1
Limestone,8.677317085,,None,,4.474661893,3630,0
Shale,23.6460279,873.5996979,Anticline,0.05055571,0.784268262,,1
Limestone,,805.2062878,None,,1.591425766,,0
Sandstone,6.939425468,775.5227204,Dome,0.946402825,0.653045238,,1
Limestone,25.65496035,,Anticline,,3.529590553,4751,0
Shale,,,Fault,0.883759999,,1979,0
Limestone,,,None,,2.080402386,,0
Sandstone,1.357475671,490.9560135,None,0.566819123,2.74243223,,0
Sandstone,10.52332869,,Anticline,,4.590473966,,1
Limestone,,,None,,2.677574508,,0
Sandstone,27.56241914,449.1646396,Fault,0.821402144,,,1
Sandstone,13.60718429,403.8571608,Fault,0.093827307,,2818,0
Sandstone,1.784404893,680.0608173,Anticline,0.127421828,1.97892391,4066,0
Limestone,4.753441116,514.9651625,Dome,0.830325681,4.2611229,,0
Shale,,,Dome,0.698610222,,1883,0
Shale,13.10273454,,Fault,,1.153480617,2371,0
Shale,10.49410064,945.4210063,Anticline,0.785467266,,2307,0
Sandstone,,,Fault,,4.9550032,1072,0
Shale,,860.8659355,Dome,0.67037591,0.170246908,,0
Limestone,19.49856294,,Fault,,4.120968983,,0
Sandstone,8.231538156,,Anticline,0.364570157,,3676,0
Sandstone,16.72322901,301.5053549,Fault,0.400344518,2.054822582,2929,0
Limestone,,543.6677762,None,0.853946172,,3166,1
Sandstone,24.51321298,,Dome,,1.492516953,,1
Shale,22.89450173,,Dome,0.818267568,2.634577229,3786,0
Shale,3.403865751,,None,0.232957527,0.264107214,916,0
Sandstone,2.369417981,,None,0.036851821,,4928,0
